psmsl_id,process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
446,total,medium,ssp119,5,0.019,0.065,0.098,0.137,0.153,0.186,0.205,0.231,0.189,0.22,0.234,0.245,0.254,0.263
446,total,medium,ssp119,17,0.036,0.08400000000000001,0.119,0.163,0.186,0.227,0.256,0.291,0.273,0.3,0.322,0.342,0.36,0.378
446,total,medium,ssp119,50,0.058,0.11,0.154,0.207,0.244,0.301,0.348,0.4,0.413,0.466,0.508,0.548,0.586,0.624
446,total,medium,ssp119,83,0.083,0.145,0.204,0.275,0.335,0.416,0.487,0.5669999999999999,0.61,0.6899999999999999,0.758,0.824,0.891,0.954
446,total,medium,ssp119,95,0.104,0.175,0.249,0.339,0.418,0.521,0.611,0.712,0.777,0.871,0.96,1.048,1.136,1.221
446,total,medium,ssp126,5,0.001,0.043,0.082,0.125,0.156,0.199,0.229,0.258,0.23,0.257,0.272,0.286,0.3,0.312
446,total,medium,ssp126,17,0.022,0.065,0.107,0.155,0.193,0.241,0.281,0.321,0.328,0.363,0.393,0.422,0.449,0.476
446,total,medium,ssp126,50,0.052,0.099,0.146,0.207,0.258,0.32,0.376,0.434,0.497,0.572,0.631,0.6879999999999999,0.745,0.8
446,total,medium,ssp126,83,0.08400000000000001,0.139,0.199,0.279,0.352,0.436,0.525,0.61,0.719,0.841,0.9360000000000001,1.029,1.122,1.213
446,total,medium,ssp126,95,0.108,0.172,0.246,0.345,0.438,0.548,0.658,0.767,0.91,1.045,1.164,1.28,1.397,1.513
446,total,medium,ssp245,5,0.014,0.047,0.08799999999999999,0.134,0.181,0.233,0.277,0.321,0.359,0.387,0.43,0.471,0.511,0.55
446,total,medium,ssp245,17,0.03,0.067,0.112,0.164,0.216,0.276,0.331,0.388,0.446,0.481,0.534,0.586,0.637,0.6879999999999999
446,total,medium,ssp245,50,0.053,0.098,0.15,0.216,0.278,0.355,0.432,0.512,0.604,0.6860000000000001,0.767,0.847,0.926,1.004
446,total,medium,ssp245,83,0.079,0.136,0.203,0.29,0.374,0.482,0.592,0.711,0.842,0.979,1.101,1.223,1.345,1.464
446,total,medium,ssp245,95,0.1,0.168,0.249,0.354,0.462,0.592,0.732,0.88,1.054,1.209,1.361,1.514,1.668,1.819
446,total,medium,ssp370,5,0.015,0.042,0.09,0.146,0.19,0.254,0.313,0.382,0.44,0.452,0.514,0.577,0.638,0.697
446,total,medium,ssp370,17,0.03,0.064,0.114,0.174,0.226,0.298,0.371,0.455,0.536,0.5610000000000001,0.641,0.72,0.796,0.87
446,total,medium,ssp370,50,0.052,0.098,0.152,0.224,0.29,0.38,0.478,0.588,0.714,0.802,0.919,1.036,1.15,1.258
446,total,medium,ssp370,83,0.076,0.138,0.204,0.296,0.389,0.508,0.645,0.798,0.976,1.121,1.288,1.456,1.62,1.781
446,total,medium,ssp370,95,0.096,0.17,0.252,0.363,0.48,0.628,0.798,0.992,1.215,1.391,1.601,1.809,2.014,2.211
446,total,medium,ssp585,5,0.017,0.059,0.1,0.162,0.218,0.28,0.353,0.446,0.52,0.524,0.6,0.674,0.742,0.805
446,total,medium,ssp585,17,0.031,0.077,0.126,0.193,0.257,0.33,0.414,0.519,0.624,0.646,0.738,0.828,0.909,0.986
446,total,medium,ssp585,50,0.052,0.104,0.166,0.244,0.322,0.42,0.532,0.662,0.819,0.921,1.053,1.181,1.302,1.417
446,total,medium,ssp585,83,0.075,0.14,0.223,0.32,0.427,0.5639999999999999,0.719,0.895,1.121,1.311,1.505,1.695,1.879,2.059
446,total,medium,ssp585,95,0.093,0.171,0.272,0.391,0.524,0.694,0.887,1.113,1.383,1.625,1.866,2.106,2.339,2.565
446,total,low,ssp126,5,0.001,0.043,0.082,0.125,0.156,0.199,0.229,0.258,0.23,0.257,0.272,0.286,0.3,0.312
446,total,low,ssp126,17,0.022,0.065,0.107,0.155,0.193,0.241,0.281,0.321,0.328,0.363,0.393,0.422,0.449,0.476
446,total,low,ssp126,50,0.055,0.104,0.154,0.216,0.27,0.332,0.392,0.452,0.516,0.596,0.662,0.728,0.795,0.863
446,total,low,ssp126,83,0.093,0.161,0.248,0.347,0.448,0.548,0.657,0.773,0.909,1.035,1.163,1.291,1.425,1.555
446,total,low,ssp126,95,0.115,0.196,0.315,0.448,0.579,0.715,0.874,1.044,1.235,1.419,1.601,1.779,1.962,2.151
446,total,low,ssp585,5,0.017,0.059,0.096,0.153,0.215,0.28,0.353,0.446,0.52,0.524,0.6,0.674,0.742,0.805
446,total,low,ssp585,17,0.031,0.076,0.123,0.189,0.252,0.33,0.414,0.519,0.624,0.646,0.738,0.828,0.909,0.986
446,total,low,ssp585,50,0.054,0.107,0.171,0.252,0.341,0.453,0.587,0.749,0.95,1.133,1.352,1.592,1.856,2.147
446,total,low,ssp585,83,0.08500000000000001,0.167,0.285,0.431,0.616,0.846,1.116,1.422,1.766,2.089,2.395,3.132,4.171,5.301
446,total,low,ssp585,95,0.1,0.216,0.388,0.593,0.835,1.145,1.53,1.98,2.513,3.123,3.771,4.464,5.225,6.018
