psmsl_id,process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
449,total,medium,tlim1.5win0.25,5,0.013,0.035,0.064,0.096,0.124,0.152,0.176,0.199,0.203,0.163,0.172,0.179,0.186,0.191
449,total,medium,tlim1.5win0.25,17,0.027,0.056,0.08799999999999999,0.126,0.159,0.194,0.226,0.26,0.28,0.238,0.255,0.271,0.286,0.299
449,total,medium,tlim1.5win0.25,50,0.046,0.08799999999999999,0.126,0.174,0.217,0.268,0.316,0.368,0.414,0.392,0.428,0.463,0.497,0.53
449,total,medium,tlim1.5win0.25,83,0.06900000000000001,0.124,0.176,0.241,0.3,0.372,0.444,0.52,0.59,0.591,0.652,0.711,0.769,0.825
449,total,medium,tlim1.5win0.25,95,0.08699999999999999,0.154,0.218,0.297,0.374,0.466,0.5580000000000001,0.657,0.746,0.746,0.824,0.902,0.979,1.055
449,total,medium,tlim2.0win0.25,5,0.014,0.033,0.063,0.103,0.118,0.158,0.205,0.241,0.256,0.221,0.239,0.254,0.268,0.282
449,total,medium,tlim2.0win0.25,17,0.027,0.054,0.09,0.14,0.168,0.213,0.266,0.307,0.346,0.318,0.345,0.371,0.396,0.419
449,total,medium,tlim2.0win0.25,50,0.045,0.08599999999999999,0.134,0.2,0.249,0.308,0.374,0.429,0.506,0.506,0.556,0.606,0.652,0.699
449,total,medium,tlim2.0win0.25,83,0.067,0.126,0.192,0.28,0.356,0.437,0.524,0.604,0.716,0.756,0.836,0.916,0.995,1.074
449,total,medium,tlim2.0win0.25,95,0.08400000000000001,0.159,0.24,0.347,0.445,0.549,0.657,0.758,0.902,0.952,1.057,1.161,1.266,1.366
449,total,medium,tlim3.0win0.25,5,-0.008,0.022,0.058,0.101,0.151,0.207,0.263,0.311,0.367,0.344,0.383,0.421,0.458,0.491
449,total,medium,tlim3.0win0.25,17,0.018,0.048,0.08699999999999999,0.139,0.193,0.256,0.32,0.381,0.455,0.434,0.486,0.535,0.582,0.628
449,total,medium,tlim3.0win0.25,50,0.049,0.08599999999999999,0.13,0.2,0.264,0.342,0.424,0.508,0.607,0.63,0.709,0.786,0.863,0.9399999999999999
449,total,medium,tlim3.0win0.25,83,0.083,0.131,0.188,0.282,0.365,0.469,0.582,0.699,0.835,0.912,1.03,1.147,1.265,1.384
449,total,medium,tlim3.0win0.25,95,0.112,0.167,0.236,0.349,0.451,0.579,0.72,0.864,1.038,1.135,1.281,1.428,1.577,1.725
449,total,medium,tlim4.0win0.25,5,0.005,0.018,0.068,0.118,0.162,0.219,0.28,0.364,0.443,0.417,0.477,0.534,0.591,0.645
449,total,medium,tlim4.0win0.25,17,0.021,0.044,0.095,0.149,0.203,0.266,0.338,0.428,0.526,0.512,0.584,0.654,0.723,0.789
449,total,medium,tlim4.0win0.25,50,0.042,0.08,0.137,0.203,0.272,0.352,0.444,0.552,0.6830000000000001,0.719,0.821,0.922,1.022,1.12
449,total,medium,tlim4.0win0.25,83,0.065,0.122,0.192,0.277,0.371,0.479,0.607,0.752,0.922,1.01,1.157,1.304,1.448,1.588
449,total,medium,tlim4.0win0.25,95,0.08500000000000001,0.157,0.24,0.343,0.457,0.589,0.749,0.928,1.132,1.25,1.433,1.613,1.791,1.965
449,total,medium,tlim5.0win0.25,5,0.019,0.056,0.098,0.155,0.203,0.269,0.348,0.438,0.543,0.486,0.556,0.626,0.6899999999999999,0.749
449,total,medium,tlim5.0win0.25,17,0.03,0.07099999999999999,0.12,0.183,0.241,0.316,0.401,0.511,0.628,0.591,0.676,0.759,0.836,0.908
449,total,medium,tlim5.0win0.25,50,0.048,0.096,0.158,0.234,0.308,0.402,0.508,0.645,0.788,0.828,0.949,1.068,1.181,1.288
449,total,medium,tlim5.0win0.25,83,0.068,0.129,0.211,0.308,0.41,0.539,0.6840000000000001,0.863,1.058,1.171,1.346,1.519,1.687,1.853
449,total,medium,tlim5.0win0.25,95,0.08500000000000001,0.158,0.256,0.375,0.501,0.661,0.837,1.054,1.293,1.443,1.659,1.871,2.081,2.285
